R,F,M,Cluster
0.8008982035928144,0.0,0.0030072027009055927,1
0.8443113772455091,0.0,0.005366634206608981,1
0.7919161676646708,0.0,0.005233648067196608,1
0.6856287425149701,0.0,0.0011153676208779657,0
0.020958083832335328,0.04504504504504505,0.04280008751345948,2
0.35179640718562877,0.009009009009009009,0.010857674801700506,3
0.501497005988024,0.0,0.0045000793626961,0
0.6392215568862276,0.0,0.00279270892765983,0
0.218562874251497,0.08108108108108107,0.07862912739643167,2
0.6497005988023953,0.0,0.005233648067196608,0
0.2470059880239521,0.0,0.0023980403848876267,3
0.034431137724550906,0.0,0.015748132831703895,2
0.6751497005988024,0.0,0.0065677993367852525,0
0.2859281437125749,0.01801801801801802,0.011672751140034405,3
0.7709580838323354,0.0,0.0032216964741513554,1
0.3233532934131737,0.0,0.0028742165614932197,3
0.28742514970059885,0.009009009009009009,0.011715649894683556,3
0.0014970059880239522,0.09009009009009009,0.17292916986619877,2
0.15119760479041916,0.01801801801801802,0.01483867923314186,2
0.3323353293413174,0.0,0.00991390219941915,3
0.46556886227544914,0.0,0.005366634206608981,3
0.025449101796407185,0.01801801801801802,0.04774631392450676,2
0.12275449101796408,0.05405405405405405,0.0926141214120554,2
0.4565868263473054,0.0,0.0032216964741513554,3
0.8428143712574852,0.009009009009009009,0.017335386753722537,1
0.721556886227545,0.0,0.0019905022157206778,0
0.5943113772455091,0.0,0.001033859987044576,0
0.5508982035928144,0.0,0.001033859987044576,0
0.501497005988024,0.0,3.8608879184237274e-05,0
0.3038922155688623,0.0,0.004963385912906948,3
0.40269461077844315,0.0,0.0041611792009677954,3
0.45508982035928147,0.0,0.0032216964741513554,3
0.058383233532934134,0.02702702702702703,0.0696375484219693,2
0.4251497005988024,0.0,0.00449149961176627,3
0.09131736526946109,0.01801801801801802,0.012075999433736438,2
0.4835329341317366,0.0,0.008446764790418134,0
0.5913173652694611,0.036036036036036036,0.01685492070165203,0
0.8338323353293414,0.0,0.00279270892765983,1
0.019461077844311378,0.08108108108108107,0.10040024538087658,2
0.008982035928143714,0.0,0.0008579750929830506,2
0.07185628742514971,0.02702702702702703,0.024023302603525417,2
0.2604790419161677,0.0,0.004963385912906948,3
0.47754491017964074,0.0,0.009828104690120845,3
0.7485029940119761,0.0,0.0032216964741513554,1
0.9491017964071857,0.0,0.004804660520705083,1
0.27994011976047906,0.0,0.005409532961258134,3
